project_id,project_name,list_type,unique_videos,likely_relevant,needs_review,low_relevance,likely_ratio,needs_review_ratio,low_relevance_ratio,avg_quality_score,negative_hit_videos,negative_hit_ratio,weak_generic_source_videos,weak_generic_source_ratio,total_play_likely,total_play_needs_review,total_play_low_relevance,max_play_likely,max_play_needs_review,max_play_low_relevance,top_quality_reasons,top_negative_terms
34,中国书法,RL,689,402,59,228,0.5835,0.0856,0.3309,3.366,0,0.0,0,0.0,842210064,49244780,243164184,67300000,12800000,19700000,"{""china_context"": 262, ""cjk_desc"": 233, ""core_term_hits:1"": 363, ""core_term_hits:2"": 74, ""empty_desc"": 7, ""project_term_hits:1"": 363, ""project_term_hits:2"": 74, ""source_hit"": 393}",{}
35,中国篆刻,RL,669,323,20,326,0.4828,0.0299,0.4873,2.786,0,0.0,0,0.0,85411812,47890879,823124371,35600000,27600000,156700000,"{""china_context"": 154, ""cjk_desc"": 274, ""core_term_hits:1"": 259, ""core_term_hits:2"": 55, ""empty_desc"": 15, ""project_term_hits:1"": 259, ""project_term_hits:2"": 55, ""source_hit"": 325}",{}
36,中国剪纸,RL,622,300,137,185,0.4823,0.2203,0.2974,3.077,0,0.0,0,0.0,205339021,194551062,306847896,36500000,22900000,30400000,"{""china_context"": 181, ""cjk_desc"": 62, ""core_term_hits:1"": 270, ""core_term_hits:2"": 110, ""project_term_hits:1"": 270, ""project_term_hits:2"": 110, ""project_term_hits:3"": 44, ""source_hit"": 247}",{}
37,中国传统木结构建筑营造技艺,RL,863,304,81,478,0.3523,0.0939,0.5539,2.161,0,0.0,0,0.0,70719861,109331212,492116047,21200000,20500000,83300000,"{""china_context"": 292, ""cjk_desc"": 361, ""core_term_hits:1"": 297, ""core_term_hits:2"": 14, ""empty_desc"": 20, ""project_term_hits:1"": 297, ""project_term_hits:2"": 14, ""source_hit"": 299}",{}
38,端午节,RL,792,388,180,224,0.4899,0.2273,0.2828,3.496,0,0.0,182,0.2298,111202009,104061987,142934022,48300000,38300000,16900000,"{""china_context"": 239, ""cjk_desc"": 335, ""core_term_hits:1"": 351, ""core_term_hits:2"": 172, ""generic_source_only"": 160, ""project_term_hits:1"": 351, ""project_term_hits:2"": 172, ""source_hit"": 528}",{}
39,妈祖信俗,RL,456,219,17,220,0.4803,0.0373,0.4825,2.792,0,0.0,0,0.0,68236788,8417063,209491962,10600000,2800000,33600000,"{""china_context"": 95, ""cjk_desc"": 216, ""core_term_hits:1"": 176, ""core_term_hits:2"": 45, ""empty_desc"": 9, ""project_term_hits:1"": 176, ""project_term_hits:2"": 45, ""source_hit"": 222}",{}
40,中国雕版印刷技艺,RL,679,229,51,399,0.3373,0.0751,0.5876,1.769,0,0.0,0,0.0,62551113,17950973,283076872,11400000,5900000,24400000,"{""china_context"": 90, ""cjk_desc"": 215, ""core_term_hits:1"": 225, ""core_term_hits:2"": 6, ""empty_desc"": 15, ""project_term_hits:1"": 225, ""project_term_hits:2"": 6, ""source_hit"": 227}",{}
41,昆曲,RL,617,265,50,302,0.4295,0.081,0.4895,3.096,0,0.0,0,0.0,10507061,13518878,206217100,1700000,4500000,24500000,"{""china_context"": 247, ""cjk_desc"": 251, ""core_term_hits:1"": 96, ""core_term_hits:2"": 159, ""project_term_hits:1"": 96, ""project_term_hits:2"": 159, ""project_term_hits:3"": 20, ""source_hit"": 254}",{}
42,古琴艺术,RL,487,277,60,150,0.5688,0.1232,0.308,3.766,0,0.0,0,0.0,124226001,65709278,143902752,38900000,14900000,20200000,"{""china_context"": 199, ""cjk_desc"": 292, ""core_term_hits:1"": 175, ""core_term_hits:2"": 108, ""project_term_hits:1"": 175, ""project_term_hits:2"": 108, ""project_term_hits:3"": 3, ""source_hit"": 276}",{}
43,新疆维吾尔木卡姆艺术,RL,519,88,55,376,0.1696,0.106,0.7245,1.316,0,0.0,0,0.0,9592744,5540326,181470236,1600000,1300000,18000000,"{""china_context"": 115, ""cjk_desc"": 146, ""core_term_hits:1"": 104, ""core_term_hits:2"": 15, ""empty_desc"": 23, ""project_term_hits:1"": 104, ""project_term_hits:2"": 15, ""source_hit"": 98}",{}
