id,project_id,project,video_id,web_url,machine_quality_label,stats_play_count,title,channelTitle,source_term
13:4_-Y-4DYjqk,13,中国木活字印刷术,4_-Y-4DYjqk,https://www.youtube.com/watch?v=4_-Y-4DYjqk,likely_relevant,382,Did Ancient China Invent Printing 700 Years Before Europe? (The Shocking Truth),Universal Insights,Chinese wooden movable type
13:4cDbs66AdfI,13,中国木活字印刷术,4cDbs66AdfI,https://www.youtube.com/watch?v=4cDbs66AdfI,needs_review,552,The Origin of the Movable Metal Typeㅣ Part1-Gutenberg: Inventor or Innovator?,Cultural Heritage in KOREA,Chinese wooden movable type
13:4mMZYkoADbw,13,中国木活字印刷术,4mMZYkoADbw,https://www.youtube.com/watch?v=4mMZYkoADbw,needs_review,215,Printing,American Bookbinders Museum,Chinese wooden movable type
13:4mjZAB1t-Pc,13,中国木活字印刷术,4mjZAB1t-Pc,https://www.youtube.com/watch?v=4mjZAB1t-Pc,likely_relevant,148,#tapping Machine #cncmachine #cncrouter #cncrouter,"solutionofmachine8244, ",Chinese wooden movable type
13:4qkRcQNwy2Y,13,中国木活字印刷术,4qkRcQNwy2Y,https://www.youtube.com/watch?v=4qkRcQNwy2Y,needs_review,6259,Ancient Chinese Inventions: Contributions to Civilization,Next Stop: USA,Chinese wooden movable type
13:56p_F6FPD_c,13,中国木活字印刷术,56p_F6FPD_c,https://www.youtube.com/watch?v=56p_F6FPD_c,needs_review,48,Moving Type,Peter Rukavina,Chinese wooden movable type
13:59ry_5sdwnU,13,中国木活字印刷术,59ry_5sdwnU,https://www.youtube.com/watch?v=59ry_5sdwnU,low_relevance,1722243,How to make a Plastic Chair on an Injection molding machine #shorts,Business Aks,Chinese wooden movable type
13:5Hl-lcDAgNs,13,中国木活字印刷术,5Hl-lcDAgNs,https://www.youtube.com/watch?v=5Hl-lcDAgNs,likely_relevant,5097,Origin of Printing,Discover Ancient China,Chinese wooden movable type
13:5Iva5rvcC98,13,中国木活字印刷术,5Iva5rvcC98,https://www.youtube.com/watch?v=5Iva5rvcC98,likely_relevant,921,From Mud to Magic: See Ancient Printing in Action!,MR Desi,Chinese wooden movable type
13:5J4ZVVn1apY,13,中国木活字印刷术,5J4ZVVn1apY,https://www.youtube.com/watch?v=5J4ZVVn1apY,low_relevance,5206985,Decorative Lights Are Modern And Extremely Unique #woodworking #shorts #woodwork #woodworker #wood,WOODWORKING  DESIGN,Chinese wooden movable type
13:5MKC_ZCyz6s,13,中国木活字印刷术,5MKC_ZCyz6s,https://www.youtube.com/watch?v=5MKC_ZCyz6s,likely_relevant,5,Wang Zhen: Pioneer of Wooden Movable Type,Tiny Trailblazers,Chinese wooden movable type
13:5Q0cO8bYh8I,13,中国木活字印刷术,5Q0cO8bYh8I,https://www.youtube.com/watch?v=5Q0cO8bYh8I,low_relevance,101,Letterpress class using Metal type,JANA SIM,Chinese wooden movable type
13:5gGA8Xfu9ks,13,中国木活字印刷术,5gGA8Xfu9ks,https://www.youtube.com/watch?v=5gGA8Xfu9ks,low_relevance,1792297,03335154817 LCD LED tv monitor adjustable moveable wall mount bracket,LCD LED tv stands & Wall mount brackets,Chinese wooden movable type
13:5nokfha3Eyc,13,中国木活字印刷术,5nokfha3Eyc,https://www.youtube.com/watch?v=5nokfha3Eyc,low_relevance,14,TS'AI LUN 105 AD,magicalgold010,Chinese wooden movable type
