video_url,project,reviewer,manual_relevance,manual_noise_type,content_language,audience_language,notes,play_count
https://www.tiktok.com/@1ucifer.sson/video/7599002501131635975,黎族传统纺染织绣技艺,A,不相关,主题无关,英文,以英文为主,,20400000
https://www.tiktok.com/@meet_east/video/7295710056752958763,黎族传统纺染织绣技艺,A,不相关,同类,中文,混合,内容是棉织,14100000
https://www.tiktok.com/@ncllsrrn/video/7474568974320110849,黎族传统纺染织绣技艺,A,不相关,主题无关,英文,以英文为主,内容是明星演唱,12800000
https://www.tiktok.com/@shelterinstitute/video/7178939278246956331,中国传统木结构建筑营造技艺,A,不相关,同类,英文,以英文为主,是西方木屋工艺,21200000
https://www.tiktok.com/@yasminvonroon/video/7236440586453011738,中国传统木结构建筑营造技艺,A,不相关,主题无关,英文,以英文为主,说重庆一楼实则在22楼,7400000
https://www.tiktok.com/@user40477079454357/video/7546593395041389855,中国传统木结构建筑营造技艺,A,拿不准,,中文,混合,展示清代巡抚后人现状、清代传统中式古民居,3300000
https://www.tiktok.com/@suny04322/video/7620827964845919520,中国传统木结构建筑营造技艺,A,不相关,主题无关,中文,混合,是湖南张家界天门山,20500000
https://www.tiktok.com/@hanjinping/video/7620011585817283848,中国传统木结构建筑营造技艺,A,不相关,主题无关,英文,以英文为主,电力新能源，完全不相关,18000000
https://www.tiktok.com/@jyd_models/video/7487163492831907118,中国传统木结构建筑营造技艺,A,不相关,主题无关,英文,混合,,36000000
https://www.tiktok.com/@marinerpoet/video/7631412594758126879,中国传统木结构建筑营造技艺,A,不相关,主题无关,英文,混合,,30400000
https://www.tiktok.com/@marinerpoet/video/7567053398458060063,中国传统木结构建筑营造技艺,A,不相关,主题无关,英文,混合,,24700000
https://www.tiktok.com/@3d.mystery/video/7560486041916853559,中国传统木结构建筑营造技艺,A,不相关,主题无关,英文,以英文为主,现代路桥工程,22300000
https://www.tiktok.com/@mazufashion/video/7349714092636114218,妈祖信俗,A,不相关,主题无关,英文,混合,,10600000
https://www.tiktok.com/@shinanova/video/6986731037648833797,妈祖信俗,A,不相关,主题无关,英文,以英文为主,,6400000
https://www.tiktok.com/@markostrakas/video/7290114627067792673,妈祖信俗,A,不相关,主题无关,英文,混合,,4400000
https://www.tiktok.com/@moolaoshi/video/7194115439113424129,妈祖信俗,A,不相关,主题无关,中文,混合,,2800000
https://www.tiktok.com/@ziyoufujian/video/7574320708361276685,妈祖信俗,A,不相关,主题无关,中文,混合,,1300000
https://www.tiktok.com/@mazzu777/video/7083716709554736385,妈祖信俗,A,不相关,主题无关,韩语,混合,,33600000
https://www.tiktok.com/@mazzu777/video/7095316737561758977,妈祖信俗,A,不相关,主题无关,混合,混合,,15900000
https://www.tiktok.com/@jessechrisss/video/7466847117730909446,妈祖信俗,A,不相关,主题无关,英文,以英文为主,,14600000
https://www.tiktok.com/@neurodivergent_art/video/7325321700340550954,妈祖信俗,A,不相关,主题无关,英文,混合,,13100000
https://www.tiktok.com/@ong_chu_nha_que/video/6951247895182036225,送王船,A,不相关,主题无关,越南语,越南语,,9100000
https://www.tiktok.com/@handyyang1/video/7404731973144481030,送王船,A,不相关,主题无关,印尼语,印尼语,,6100000
https://www.tiktok.com/@longchunchun/video/7398811777930104071,送王船,A,不相关,主题无关,越南语,越南语,,6000000
https://www.tiktok.com/@janet252539/video/7206675869862022401,送王船,A,不相关,主题无关,中文、日语,日语,,8300000
https://www.tiktok.com/@china.boys1/video/7559860433167928577,送王船,A,不相关,主题无关,中文,混合,,6200000
https://www.tiktok.com/@khat_019/video/7617709236507675924,送王船,A,不相关,主题无关,泰语,泰语,,20300000
https://www.tiktok.com/@seymagalaxynavatra/video/7414511887024426258,送王船,A,不相关,主题无关,,混合,我听不懂视频里在唱什么语言,17700000
